neg,neu,pos,compound,entropy,class
0.295,0.574,0.13,-0.9413,4.1616477130003675,1
0.224,0.585,0.191,-0.9169,4.232837601422386,1
0.081,0.695,0.223,0.9883,4.233505426311388,1
0.37,0.521,0.108,-0.9791,4.21870779297396,1
0.215,0.714,0.071,-0.8981,4.122220636310444,1
0.067,0.662,0.271,0.9799,4.2007125926874,1
0.167,0.726,0.107,-0.7629,4.187442298614363,1
0.189,0.621,0.19,-0.2247,4.2080291688197295,1
0.253,0.442,0.305,0.4939,4.208885414816512,1
0.154,0.703,0.143,-0.8256,4.157694601929625,1
0.145,0.755,0.1,-0.9223,4.192896679771919,1
0.17,0.724,0.105,-0.8134,4.121556734177992,1
0.214,0.605,0.181,-0.5719,4.122842552234834,1
0.28,0.622,0.099,-0.8614,4.194777928924259,1
0.23,0.622,0.148,-0.9565,4.180297982368856,1
0.187,0.667,0.147,-0.7835,4.113989011573452,1
0.193,0.781,0.026,-0.9517,4.206094834537712,1
0.602,0.369,0.029,-0.9712,3.96836487956341,1
0.22,0.595,0.185,-0.5908,4.107763998990313,1
0.244,0.52,0.236,-0.1779,4.213420500866533,1
0.242,0.599,0.159,-0.9044,4.180649585861251,1
0.361,0.506,0.133,-0.9798,4.150581785273756,1
0.097,0.643,0.26,0.9673,4.176564755305948,1
0.103,0.655,0.243,0.9346,4.214762084535675,1
0.121,0.728,0.151,0.296,4.1379215906423195,1
0.122,0.625,0.253,0.9569,4.1800770555158415,1
0.203,0.594,0.202,-0.2911,4.196032249341829,1
0.172,0.555,0.273,0.8201,4.304524458065442,1
0.153,0.634,0.214,0.9244,4.20792460983714,1
0.19,0.687,0.123,-0.8724,4.206026862608693,1
0.219,0.547,0.234,-0.2006,4.178633155706452,1
0.266,0.601,0.133,-0.9224,4.199974337698447,1
0.17,0.616,0.215,0.5162,4.195265563054569,1
0.077,0.774,0.149,0.7938,4.150553632967819,1
0.206,0.581,0.213,0.5542,4.208318657784412,1
0.075,0.851,0.075,-0.4588,4.178193517578893,1
0.131,0.746,0.124,-0.4386,4.239847174849683,1
0.237,0.611,0.152,-0.9246,4.218281787994039,1
0.165,0.664,0.171,0.296,4.213325675784472,1
0.2,0.564,0.236,0.5495,4.188595675340467,1
0.139,0.732,0.13,-0.5819,4.207565860487095,1
0.258,0.661,0.081,-0.9405,4.132047506068366,1
0.148,0.688,0.163,0.0516,4.191176003292324,1
0.166,0.531,0.303,0.9633,4.192065129925232,1
0.264,0.519,0.217,-0.2549,4.121745226487108,1
0.127,0.656,0.217,0.9806,4.169852390436936,1
0.143,0.643,0.213,0.9623,4.19910010645142,1
0.122,0.74,0.138,0.1796,4.2246336902602675,1
0.256,0.497,0.247,-0.6121,4.178158693913153,1
0.208,0.64,0.152,-0.8305,4.197610372541298,1
0.104,0.722,0.174,0.7214,4.209457154511371,1
0.116,0.808,0.076,-0.5419,4.165561309963975,1
0.123,0.623,0.253,0.9063,4.128312934892822,1
0.125,0.709,0.165,0.0203,4.1701398873058455,1
0.092,0.743,0.165,0.6541,4.201901510231428,1
0.184,0.653,0.163,-0.8862,4.243137294292953,1
0.091,0.723,0.186,0.7934,4.153242168302384,1
0.089,0.729,0.182,0.9485,4.169503707433848,1
0.143,0.599,0.258,0.7679,4.080191814273275,1
0.187,0.619,0.194,-0.2638,4.173286391296356,1
0.076,0.581,0.343,0.983,4.137844527747139,1
0.279,0.603,0.118,-0.9393,4.168800447397728,1
0.111,0.542,0.347,0.9874,4.223968330087282,1
0.039,0.627,0.334,0.9705,4.1730811978921185,1
0.319,0.513,0.169,-0.9743,4.110271966013605,1
0.061,0.606,0.334,0.959,4.121959329381193,1
0.288,0.54,0.172,-0.9712,4.163512933578785,1
0.279,0.542,0.179,-0.9548,4.195381004534621,1
0.255,0.576,0.169,-0.9246,4.166212647859795,1
0.446,0.477,0.077,-0.9313,4.174380139515753,1
0.149,0.644,0.207,0.5058,4.134572392399128,1
0.111,0.681,0.208,0.4019,4.0773560316012665,1
0.121,0.66,0.219,0.9153,4.173936353023266,1
0.127,0.653,0.22,0.3182,4.05649177775195,1
0.153,0.613,0.234,0.945,4.2245867826148515,1
0.21,0.601,0.189,-0.2023,4.213372759205915,1
0.195,0.619,0.186,-0.1561,4.258890000524592,1
0.23,0.603,0.168,-0.8225,4.186082074558039,1
0.137,0.65,0.213,0.7501,4.177874000417197,1
0.238,0.532,0.23,0.0219,4.167214938203071,1
0.276,0.564,0.159,-0.8898,4.176112263573109,1
0.172,0.651,0.177,0.2023,4.192343726296079,1
0.27,0.654,0.076,-0.7506,4.033758566858921,1
0.159,0.599,0.241,0.7692,4.162184916885096,1
0.117,0.662,0.221,0.9702,4.236025261059185,1
0.259,0.595,0.146,-0.8308,4.208206061119602,1
0.246,0.479,0.275,0.0018,4.213556079743799,1
0.168,0.707,0.125,-0.4015,4.23316271851685,1
0.357,0.471,0.172,-0.9649,4.219923158921461,1
0.07,0.654,0.276,0.9538,4.139897102424759,1
0.33,0.566,0.103,-0.8485,4.0939220708364275,1
0.138,0.6,0.262,0.8867,4.140974213575361,1
0.187,0.653,0.16,-0.2287,4.1605160143639,1
0.192,0.63,0.178,-0.576,4.1704881284910105,1
0.136,0.643,0.221,0.6945,4.1546115482227854,1
0.254,0.557,0.189,-0.9343,4.2259492615910785,1
0.222,0.553,0.225,0.1015,4.2112076637474365,1
0.123,0.762,0.115,-0.2263,4.119838072179559,1
0.256,0.556,0.188,-0.8294,4.2096315792258645,1
0.25,0.662,0.088,-0.9574,4.143704472458922,1
0.142,0.612,0.246,0.9964,4.205681031044198,1
0.18,0.714,0.106,-0.7339,4.160002457770096,1
0.235,0.548,0.217,-0.5859,4.204464693799083,1
0.078,0.695,0.227,0.9357,4.153660666248468,1
0.267,0.487,0.247,-0.6705,4.175973791298307,1
0.202,0.632,0.166,-0.9351,4.199616373324712,1
0.149,0.676,0.175,0.3612,4.210159841097923,1
0.251,0.558,0.191,-0.775,4.16470627400989,1
0.06,0.767,0.173,0.8316,4.11582896818088,1
0.131,0.591,0.278,0.9637,4.197894898951254,1
0.285,0.567,0.148,-0.9736,4.147485761845655,1
0.249,0.61,0.14,-0.936,4.19522164303246,1
0.309,0.518,0.172,-0.875,4.262600978609224,1
0.162,0.684,0.154,-0.4357,4.223010205673184,1
0.233,0.699,0.068,-0.9371,4.090317103424058,1
0.342,0.464,0.195,-0.9201,4.160207740071337,1
0.052,0.868,0.08,0.0528,4.199986550930845,1
0.176,0.636,0.188,0.0258,4.174571160028228,1
0.177,0.689,0.134,-0.3197,4.087949988360925,1
0.32,0.577,0.104,-0.9919,4.2123117262570835,1
0.261,0.593,0.146,-0.9006,4.214538560761071,1
0.08,0.607,0.313,0.9849,4.218203792308252,1
0.113,0.645,0.243,0.9645,4.203841067430683,1
0.141,0.504,0.355,0.8162,4.141737245149438,1
0.0,0.84,0.16,0.6369,4.015340486073265,1
0.232,0.594,0.173,-0.8205,4.108867228239736,1
0.232,0.58,0.188,-0.7506,4.20183582491168,1
0.214,0.54,0.246,0.7472,4.125002046548421,1
0.165,0.642,0.194,0.5063,4.225610047928238,1
0.299,0.503,0.198,-0.927,4.172047787919072,1
0.155,0.682,0.163,0.2427,4.220567541334014,1
0.192,0.569,0.239,0.8342,4.190696588651432,1
0.151,0.629,0.22,0.6486,4.236619205826431,1
0.157,0.654,0.188,0.8354,4.212915190974508,1
0.308,0.564,0.128,-0.9913,4.217427404738219,1
0.304,0.614,0.082,-0.9513,4.1802886671869395,1
0.247,0.628,0.126,-0.9638,4.212353340176675,1
0.196,0.671,0.133,-0.9845,4.219028453291924,1
0.211,0.686,0.103,-0.8843,4.187139445590897,1
0.207,0.673,0.12,-0.8271,4.16797554336374,1
0.204,0.626,0.17,-0.2268,4.1653546229137115,1
0.113,0.644,0.243,0.985,4.171437177684054,1
0.129,0.675,0.197,0.3197,4.162919284435949,1
0.062,0.721,0.217,0.9117,4.139255356650115,1
0.22,0.608,0.172,-0.2023,4.13950180895337,1
0.18,0.68,0.14,-0.2287,4.198140304602221,1
0.153,0.718,0.129,-0.0341,4.161837018261809,1
0.136,0.774,0.091,-0.7579,4.225224986721305,1
0.513,0.4,0.088,-0.9942,4.215872880121253,1
0.163,0.606,0.232,0.7003,4.236084408698127,1
0.22,0.672,0.107,-0.814,4.194470864098385,1
0.192,0.651,0.157,-0.852,4.244473659262556,1
0.266,0.639,0.095,-0.9854,4.199929596171022,1
0.306,0.547,0.147,-0.9481,4.213204616557781,1
0.195,0.634,0.171,-0.5994,4.169540986995233,1
0.178,0.707,0.116,-0.9362,4.230183275319671,1
0.25,0.57,0.18,-0.8074,4.175089158338126,1
0.459,0.443,0.099,-0.9509,4.0819082231765424,1
0.177,0.701,0.122,-0.5892,4.145655546557542,1
0.049,0.665,0.286,0.9884,4.213358615472338,1
0.297,0.568,0.135,-0.9639,4.109382786984227,1
0.247,0.563,0.19,-0.9369,4.161746970454736,1
0.185,0.676,0.14,-0.7184,4.194287246637731,1
0.256,0.523,0.222,-0.768,4.239337108378233,1
0.298,0.587,0.115,-0.9615,4.190138440099027,1
0.187,0.742,0.072,-0.981,4.2060961692159635,1
0.123,0.596,0.281,0.5423,4.074619434191976,1
0.238,0.553,0.209,-0.7105,4.096302259291775,1
0.198,0.658,0.144,-0.7546,4.190277518311253,1
0.154,0.658,0.187,0.6813,4.205019813587305,1
0.329,0.485,0.186,-0.4639,4.136042518286068,1
0.167,0.683,0.149,-0.3818,4.165151973222752,1
0.338,0.598,0.064,-0.9231,4.115546184839892,1
0.254,0.697,0.05,-0.9763,4.142265755783905,1
0.174,0.71,0.116,-0.5719,4.0795167437452875,1
0.141,0.685,0.173,0.8763,4.192261117446748,1
0.139,0.709,0.151,-0.1531,4.1659516270192976,1
0.163,0.652,0.185,0.0258,4.110978732881971,1
0.173,0.542,0.285,0.8723,4.225661431302283,1
0.385,0.45,0.165,-0.9948,4.229352693513571,1
0.305,0.605,0.09,-0.9501,4.149448177768443,1
0.168,0.641,0.191,0.4211,4.175654791281966,1
0.104,0.857,0.039,-0.5106,4.1770811649550215,1
0.15,0.68,0.17,0.6258,4.2100536852718635,1
0.16,0.755,0.085,-0.9468,4.180579092820135,1
0.103,0.829,0.068,-0.8481,4.198710502825697,1
0.106,0.794,0.1,0.2023,4.1959997005013685,1
0.078,0.795,0.127,0.6369,4.196926219261518,1
0.138,0.786,0.076,-0.6115,4.1563098933613105,1
0.155,0.786,0.059,-0.936,4.17867728914556,1
0.197,0.688,0.115,-0.8625,4.197977305202695,1
0.073,0.647,0.28,0.9081,4.14631282413739,1
0.186,0.621,0.192,-0.3941,4.07841416187624,1
0.205,0.601,0.195,-0.3548,4.131531577820727,1
0.178,0.578,0.244,0.743,4.189315015787352,1
0.299,0.49,0.212,-0.9241,4.207152018091144,1
0.126,0.625,0.248,0.8301,4.182028296834353,1
0.089,0.595,0.316,0.9477,4.204010259020476,1
0.155,0.56,0.285,0.6335,4.0797221508207775,1
0.257,0.661,0.083,-0.9403,4.1833541658922995,1
0.142,0.619,0.239,0.7776,4.249963283747338,1
0.186,0.717,0.097,-0.824,4.114645506834132,1
0.196,0.723,0.081,-0.9771,4.2311957000604625,1
0.226,0.654,0.12,-0.8481,4.157653692561223,1
0.133,0.729,0.138,-0.3604,4.216305260972388,1
0.179,0.687,0.134,-0.9353,4.167428880684738,1
0.082,0.681,0.237,0.9154,4.173898555230384,1
0.128,0.706,0.166,0.2534,4.217162622197247,1
0.114,0.705,0.181,0.97,4.1851978195566675,1
0.123,0.634,0.243,0.5267,4.299181359212233,1
0.282,0.586,0.132,-0.8747,4.191714547600295,1
0.177,0.646,0.177,-0.4523,4.254866451007018,1
0.331,0.654,0.015,-0.988,4.234797304207176,1
0.224,0.679,0.097,-0.9202,4.17034532530432,1
0.183,0.645,0.172,-0.4939,4.256215184626624,1
0.265,0.579,0.156,-0.9489,4.20558645057438,1
0.182,0.602,0.216,0.4922,4.335259841160723,1
0.207,0.705,0.088,-0.8689,4.190387274334419,1
0.125,0.756,0.118,-0.3849,4.164591325125503,1
0.183,0.621,0.196,0.1174,4.2114390585637995,1
0.108,0.749,0.142,0.3286,4.209841046327352,1
0.123,0.614,0.263,0.9022,4.183714359702179,1
0.173,0.764,0.063,-0.923,4.161567238300422,1
0.169,0.658,0.173,0.1356,4.162355373569359,1
0.227,0.674,0.099,-0.9282,4.216590992625822,1
0.226,0.613,0.161,-0.9667,4.214536571499815,1
0.035,0.617,0.349,0.9735,4.192439520239065,1
0.075,0.677,0.248,0.9804,4.171764989720662,1
0.313,0.557,0.13,-0.9405,4.195422107748937,1
0.368,0.43,0.202,-0.9388,4.237916654851929,1
0.178,0.583,0.239,0.2732,4.1167779275901655,1
0.132,0.688,0.181,0.8601,4.208923581248388,1
0.144,0.66,0.196,0.9401,4.260989878389304,1
0.177,0.691,0.132,-0.502,4.178178835925006,1
0.195,0.647,0.158,-0.8176,4.226701546819778,1
0.243,0.644,0.113,-0.7548,4.100170662885247,1
0.168,0.738,0.095,-0.8661,4.180166530658486,1
0.361,0.555,0.084,-0.9735,4.149891136016707,1
0.255,0.586,0.159,-0.8407,4.133331742684657,1
0.221,0.688,0.091,-0.8627,4.257069979935366,1
0.195,0.471,0.334,0.8516,4.161416579782578,1
0.113,0.64,0.247,0.9423,4.197184935379429,1
0.191,0.703,0.106,-0.7906,4.224785811128659,1
0.098,0.681,0.221,0.8916,4.152897102432009,1
0.199,0.512,0.289,0.5141,4.16853198949807,1
0.139,0.597,0.264,0.7287,4.224596552941088,1
0.147,0.732,0.121,-0.0571,4.164962518494431,1
0.182,0.65,0.168,-0.8834,4.269061414790106,1
0.213,0.623,0.163,-0.807,4.2240287532229335,1
0.233,0.734,0.033,-0.9362,4.1710521842670945,1
0.17,0.571,0.259,0.8848,4.232589549994293,1
0.215,0.564,0.221,-0.6369,4.254188202471067,1
0.23,0.614,0.156,-0.995,4.249650738093064,1
0.259,0.551,0.19,-0.7252,4.214884832123304,1
0.261,0.593,0.146,-0.9531,4.236709307840152,1
0.23,0.604,0.167,-0.8903,4.251807358687293,1
0.278,0.521,0.201,-0.5239,4.087370772002834,1
0.221,0.678,0.101,-0.7579,4.039685706828183,1
0.281,0.557,0.162,-0.6488,4.147118411065308,1
0.287,0.577,0.136,-0.9022,4.173114432222045,1
0.127,0.551,0.323,0.9833,4.238294150411506,1
0.125,0.561,0.313,0.9837,4.146316134923392,1
0.153,0.555,0.292,0.9022,4.18911765556,1
0.188,0.591,0.222,0.5106,4.106282926730339,1
0.159,0.622,0.219,0.9563,4.239151648325711,1
0.171,0.546,0.283,0.9653,4.152432308934176,1
0.064,0.586,0.35,0.9864,4.1652581731202565,1
0.185,0.673,0.143,-0.801,4.208653217837,1
0.128,0.62,0.252,0.9767,4.177727957867724,1
0.31,0.572,0.119,-0.9801,4.16813330161729,1
0.326,0.555,0.119,-0.9578,4.184646517552975,1
0.074,0.644,0.282,0.9489,4.111406472818271,1
0.194,0.697,0.109,-0.9589,4.22452402861319,1
0.137,0.624,0.24,0.8555,4.189697657827753,1
0.144,0.628,0.228,0.6133,4.21089576943764,1
0.183,0.692,0.125,-0.9158,4.2154298606194285,1
0.286,0.635,0.079,-0.9458,4.219311245558762,1
0.208,0.631,0.162,-0.9041,4.179023323169054,1
0.063,0.683,0.253,0.981,4.166085005682685,1
0.273,0.48,0.247,-0.6361,4.249665000073679,1
0.166,0.618,0.216,0.9054,4.209558446710143,1
0.14,0.663,0.197,0.6474,4.161981143107361,1
0.358,0.464,0.178,-0.8528,4.097945966315429,1
0.249,0.629,0.121,-0.8908,4.138016546112093,1
0.121,0.677,0.202,0.8545,4.209946061558284,1
0.18,0.66,0.161,-0.7289,4.142867085310703,1
0.17,0.596,0.234,0.743,4.126786285902493,1
0.044,0.758,0.198,0.7717,4.281992722683584,1
0.443,0.35,0.207,-0.9726,4.125916480704194,1
0.22,0.58,0.2,-0.2023,4.189293227520795,1
0.143,0.748,0.109,-0.3626,4.175896140773702,1
0.364,0.57,0.067,-0.9871,4.270219706785466,1
0.196,0.638,0.166,-0.3481,4.121918400552973,1
0.17,0.543,0.287,0.8739,4.191469872743595,1
0.154,0.714,0.131,-0.34,4.062612747424575,1
0.242,0.613,0.144,-0.989,4.290469520084979,1
0.142,0.582,0.277,0.8363,4.203841885022885,1
0.118,0.568,0.313,0.8848,4.123380678611773,1
0.082,0.719,0.199,0.8584,4.159009729901489,1
0.255,0.479,0.266,0.2013,4.1743334973187105,1
0.256,0.634,0.11,-0.7964,4.156457126614257,1
0.43,0.518,0.052,-0.9732,4.197786519503988,1
0.235,0.573,0.192,-0.9743,4.2124553422261295,1
0.242,0.574,0.185,-0.6454,4.149925416491121,1
0.06,0.727,0.213,0.5988,4.1436501506361125,1
0.314,0.6,0.085,-0.9834,4.204857730950071,1
0.129,0.646,0.225,0.906,4.19304683175842,1
0.462,0.346,0.192,-0.9879,4.138450846816908,1
0.193,0.537,0.27,0.8319,4.225426333103432,1
0.251,0.572,0.178,-0.8633,4.188721332150348,1
0.338,0.49,0.172,-0.9708,4.2061229427605,1
0.135,0.736,0.129,-0.1211,4.134991131958761,1
0.33,0.507,0.163,-0.9112,4.121968454253017,1
0.394,0.428,0.178,-0.9782,4.196339551571697,1
0.202,0.657,0.141,-0.891,4.1479958665357035,1
0.228,0.496,0.276,0.5848,4.199524609890772,1
0.321,0.529,0.15,-0.9422,4.2304263443304615,1
0.194,0.557,0.249,0.8367,4.190464333876191,1
0.174,0.722,0.104,-0.7351,4.233025786764582,1
0.031,0.648,0.321,0.9764,4.171216193139341,1
0.202,0.626,0.172,-0.508,4.202659140766498,1
0.104,0.828,0.069,-0.5,4.1868052591444895,1
0.18,0.577,0.243,0.4228,4.235123651183517,1
0.106,0.691,0.203,0.735,4.170333060667007,1
0.24,0.602,0.157,-0.8516,4.168931581663067,1
0.184,0.648,0.168,-0.5584,4.176560291580583,1
0.207,0.563,0.229,0.3197,4.178580195089337,1
0.33,0.554,0.117,-0.9931,4.181626722961179,1
0.156,0.673,0.171,-0.2071,4.203606397585915,1
0.137,0.689,0.174,0.7522,4.247784957621078,1
0.084,0.916,0.0,-0.3182,4.196280502303519,1
0.208,0.668,0.124,-0.8074,4.155007561832702,1
0.158,0.597,0.244,0.7364,4.108714807831581,1
0.083,0.738,0.179,0.743,4.194147624317303,1
0.137,0.705,0.158,0.2828,4.197683254166589,1
0.196,0.615,0.189,-0.3865,4.168031978192649,1
0.179,0.533,0.288,0.8584,4.197957707688676,1
0.083,0.796,0.121,0.8689,4.248840784340897,1
0.183,0.487,0.33,0.9145,4.133153438423428,1
0.129,0.573,0.298,0.9287,4.203742024181712,1
0.267,0.562,0.171,-0.9514,4.218601314693459,1
0.138,0.706,0.156,0.1785,4.183725947648701,1
0.089,0.72,0.191,0.9842,4.239057200122645,1
0.167,0.687,0.146,-0.9674,4.239165023177591,1
0.219,0.672,0.109,-0.9207,4.170810433562023,1
0.157,0.747,0.096,-0.9381,4.202091359148808,1
0.214,0.503,0.283,0.8288,4.197503567839599,1
0.15,0.598,0.251,0.9522,4.134452583516256,1
0.124,0.644,0.232,0.8269,4.141547158903171,1
0.171,0.645,0.184,0.4363,4.241221038962944,1
0.179,0.668,0.152,-0.8357,4.198563431101806,1
0.048,0.866,0.085,0.5234,4.15435126685219,1
0.209,0.515,0.275,0.7461,4.242035938837879,1
0.131,0.643,0.226,0.8042,4.254007910933087,1
0.143,0.686,0.171,0.25,4.147657270048068,1
0.128,0.704,0.168,0.5541,4.166405915713386,1
0.339,0.544,0.117,-0.9713,4.280646690563755,1
0.307,0.503,0.191,-0.9371,4.2331340318896,1
0.325,0.473,0.202,-0.5994,4.05117785059371,1
0.324,0.521,0.155,-0.9657,4.105721331634398,1
0.21,0.613,0.178,-0.4077,4.215844860670571,1
0.186,0.5,0.314,0.7504,4.168172498790671,1
0.379,0.445,0.176,-0.9868,4.187807961126664,1
0.34,0.521,0.139,-0.9468,4.154332247307026,1
0.147,0.588,0.265,0.8024,4.1791493456682876,1
0.26,0.647,0.093,-0.9745,4.195126993102585,1
0.235,0.619,0.147,-0.9524,4.273490322154419,1
0.411,0.399,0.19,-0.9828,4.207915105067258,1
0.23,0.505,0.265,0.0258,4.190397357209706,1
0.159,0.529,0.312,0.9248,4.160742106412187,1
0.259,0.664,0.077,-0.9612,4.128987337285158,1
0.113,0.609,0.279,0.998,4.249818303410624,1
0.259,0.598,0.144,-0.8532,4.1917140947612745,1
0.256,0.635,0.109,-0.9451,4.2009765865427635,1
0.253,0.495,0.252,-0.0231,4.168963502006559,1
0.324,0.521,0.155,-0.9657,4.105721331634398,1
0.191,0.494,0.315,0.7923,4.1964305821367605,1
0.145,0.663,0.192,0.8876,4.258142867541819,1
0.243,0.661,0.096,-0.9976,4.162195706655818,1
0.138,0.689,0.173,0.1531,4.160012930141867,1
0.258,0.55,0.191,-0.9306,4.227003306738122,1
0.054,0.578,0.368,0.9867,4.150661520612614,1
0.312,0.566,0.122,-0.9571,4.207454113778505,1
0.157,0.625,0.218,0.2955,4.176841924098383,1
0.205,0.638,0.156,-0.6503,4.204269516275106,1
0.195,0.533,0.272,0.2263,4.078389340449439,1
0.315,0.619,0.067,-0.9676,4.163340630888312,1
0.303,0.56,0.137,-0.7984,4.089848748629712,1
